Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30
1-T-R_unscaled,1-T-R_unsmooth,DA,DA_1stderiv,DA_2ndderiv,DA_unscaled,E,IA,IA_1stderiv,IA_2ndderiv,IA_unscaled,TR,TR_unscaled,TR_unsmooth,abs,abs_1stderiv,abs_2ndderiv,abs_unscaled,abs_unsmooth,av-raw_refl,av-raw_trans,dark_refl,dark_trans,fitdata-DA,fitdata-IA,rawselectinds,ref_refl,ref_trans,refl_unsmooth,trans_unsmooth
0.007,0.011,0.003,0,0,0.025,1.242,0.243,0.004,-0.001,0.398,0.88,0.993,0.989,0.143,1.064,-71.711,0.128,0.011,1.107,2.089,1.032,0.966,0.003,0.245,0,2.616,2.159,0.047,0.942
0.009,0.007,0.004,0,0,0.026,1.246,0.246,0.003,-0.001,0.403,0.878,0.99,0.993,0.146,0.803,-64.646,0.131,0.007,1.138,2.39,1.027,0.967,0.003,0.245,0,3.25,2.476,0.05,0.943
0.011,0.004,0.004,0,0,0.027,1.25,0.248,0.002,-0.001,0.407,0.876,0.988,0.996,0.149,0.567,-57.581,0.133,0.004,1.145,2.336,1.027,0.966,0.003,0.244,0,3.477,2.412,0.048,0.948
0.013,0.02,0.004,0,0,0.028,1.254,0.25,0.002,-0.001,0.41,0.875,0.987,0.979,0.15,0.357,-50.935,0.134,0.022,1.125,1.901,1.033,0.966,0.003,0.244,0,3.064,1.966,0.045,0.935
0.013,0.019,0.004,0,0,0.029,1.257,0.251,0.001,-0.001,0.412,0.874,0.986,0.98,0.151,0.171,-44.695,0.135,0.02,1.087,1.648,1.033,0.966,0.003,0.244,0,2.319,1.693,0.042,0.939
0.014,-0.001,0.004,0,0,0.029,1.261,0.252,0,-0.001,0.413,0.874,0.986,1.001,0.151,0.009,-38.851,0.135,-0.001,1.071,1.559,1.017,0.967,0.003,0.243,0,2.012,1.592,0.054,0.947
0.013,0.017,0.004,0,0,0.029,1.265,0.252,0,0,0.413,0.874,0.986,0.983,0.151,-0.131,-33.392,0.135,0.017,1.061,1.463,1.025,0.966,0.003,0.243,0,1.86,1.495,0.043,0.94
0.013,0.013,0.004,0,0,0.029,1.269,0.252,0,0,0.413,0.874,0.987,0.986,0.15,-0.25,-28.306,0.134,0.014,1.058,1.402,1.024,0.966,0.003,0.242,0,1.714,1.432,0.05,0.937
0.012,0.013,0.004,0,0,0.029,1.273,0.251,-0.001,0,0.412,0.875,0.988,0.986,0.149,-0.351,-23.583,0.133,0.014,1.056,1.426,1.03,0.966,0.003,0.242,0,1.67,1.452,0.041,0.946
